Video Link,Gender Expression Annotator 1,Gender Expression Annotator 2,Class Label Annotator 1,Class Label Annotator 2
https://www.tiktok.com/@cristhianhaze/video/7088815024977743109,Masculine,Masculine,Others,Others
https://www.tiktok.com/@cueballcapalot0/video/7081768220734098730,Masculine,Masculine,Others,Others
https://www.tiktok.com/@cumbermatch/video/7147060196777413894,Masculine,Masculine,Others,Others
https://www.tiktok.com/@curtisray/video/6907318400113020166,Masculine,Masculine,Others,Others
https://www.tiktok.com/@damedamian/video/6854650232781704454,Masculine,Masculine,Suggestive,Others
https://www.tiktok.com/@danielr.wasson/video/7156055613955394859,Masculine,None,Others,Others
https://www.tiktok.com/@daus_mendoza/video/7181211502555204906,Feminine,Non-conforming,Others,Others
https://www.tiktok.com/@davidjustinn/video/6966456354961624325,Masculine,Masculine,Others,Others
https://www.tiktok.com/@dean_1996/video/7107683007699471621,Feminine,Feminine,Suggestive,Suggestive
https://www.tiktok.com/@delicatedotsandrea/video/7059406965847395630,None,None,Others,Others
https://www.tiktok.com/@dellanoyce/video/7163241160704560390,Feminine,Feminine,Others,Others
https://www.tiktok.com/@dellanoyce/video/7176298396058160390,Feminine,Feminine,Others,Others
https://www.tiktok.com/@demiskinner/video/7151953992266878213,More than one person  with different gender expressions,More than one person  with different gender expressions,Others,Others
https://www.tiktok.com/@denverskindoc/video/6914011870529621254,None,None,Others,Others
https://www.tiktok.com/@destinopositivo/video/7158246858421292294,More than one person  with different gender expressions,Feminine,Others,Others
https://www.tiktok.com/@diana_raymond/video/7177944121099783429,More than one person  with different gender expressions,More than one person  with different gender expressions,Others,Others
https://www.tiktok.com/@dickdocsg/video/7020702308380069121,Masculine,Masculine,Educative,Educative
https://www.tiktok.com/@do.not.disturb.her/video/7130886942513794309,Feminine,Feminine,Others,Others
https://www.tiktok.com/@doctor.shawn/video/7179325361006857518,Masculine,Masculine,Educative,Educative
https://www.tiktok.com/@dream_team_house/video/7173590143457103106,More than one person  with different gender expressions,More than one person  with different gender expressions,Others,Others
https://www.tiktok.com/@drjenniferlincoln/video/7150856632212245806,Feminine,Feminine,Educative,Educative
https://www.tiktok.com/@dw.raiden3/video/7083925882544540974,Feminine,Feminine,Others,Others
https://www.tiktok.com/@dyimond.moore/video/7117754004658064682,Feminine,Feminine,Others,Others
https://www.tiktok.com/@ebenezerschool/video/7174172158732668203,Masculine,Masculine,Others,Others
https://www.tiktok.com/@elinamayve/video/7090170250334899457,Non-conforming,Feminine,Others,Others
https://www.tiktok.com/@elissaswetty/video/7163787237895851269,Feminine,Feminine,Suggestive,Suggestive
https://www.tiktok.com/@em.gauth/video/7028329784908434734,Feminine,Feminine,Others,Others
https://www.tiktok.com/@emiden_cos/video/6918229086447865093,More than one person  with different gender expressions,More than one person  with different gender expressions,Others,Others
https://www.tiktok.com/@emilyrayna/video/6843173392116370694,More than one person  with different gender expressions,Feminine,Others,Others
https://www.tiktok.com/@evamillersha/video/7179281784851401985,Feminine,Feminine,Others,Others
https://www.tiktok.com/@fairy.rblxx_/video/7070211880924613890,None,None,Others,Others
https://www.tiktok.com/@fernsulantay/video/6928767059056807174,None,None,Others,Others
https://www.tiktok.com/@filosenpai/video/6909979786890726661,None,None,Others,Others
https://www.tiktok.com/@finny_sk/video/7163604560831958274,More than one person  with different gender expressions,More than one person  with different gender expressions,Others,Others
https://www.tiktok.com/@fredziownik_art/video/7151111276746394886,More than one person  with different gender expressions,More than one person  with different gender expressions,Others,Others
https://www.tiktok.com/@fredziownik_espanol/video/7151825154450918661,Feminine,None,Others,Others
https://www.tiktok.com/@gadiel_0823/video/7099931111853264174,None,None,Others,Others
https://www.tiktok.com/@gonzo824/video/7064231498278522159,Masculine,Masculine,Suggestive,Suggestive
https://www.tiktok.com/@gopihenna/video/6865894965415791877,Feminine,Feminine,Others,Others
https://www.tiktok.com/@gopihenna/video/6939201550661225734,None,None,Others,Others
https://www.tiktok.com/@gopihenna/video/6943255393229376774,None,None,Others,Others
https://www.tiktok.com/@gullyburrows/video/6918426307839921410,More than one person  with different gender expressions,More than one person  with different gender expressions,Others,Others
https://www.tiktok.com/@h1ssyfit/video/7136582576629632298,More than one person  with different gender expressions,More than one person  with different gender expressions,Others,Others
https://www.tiktok.com/@historyfordummies/video/6946685568235392262,More than one person  with different gender expressions,More than one person  with different gender expressions,Others,Others
https://www.tiktok.com/@hlaed/video/7100208627474042117,More than one person  with different gender expressions,More than one person  with different gender expressions,Others,Others
https://www.tiktok.com/@hotgirls10000/video/7204477935229685034,Feminine,Feminine,Others,Others
https://www.tiktok.com/@i_am_tjan/video/7199037261831359749,Masculine,Masculine,Suggestive,Suggestive
https://www.tiktok.com/@ideasgood_88/video/7164199389798632750,Masculine,Masculine,Others,Others
https://www.tiktok.com/@isha.muc/video/6970613677716294918,Feminine,Feminine,Others,Others
https://www.tiktok.com/@itsame.yomama/video/7167511080195919147,Feminine,Feminine,Suggestive,Suggestive
https://www.tiktok.com/@itsbigblasiann/video/7129506499604352299,Feminine,Feminine,Suggestive,Suggestive
https://www.tiktok.com/@jackiekamel/video/7065048173743459630,Feminine,Feminine,Others,Others
https://www.tiktok.com/@jakeandrich/video/7164427047413026053,Masculine,Masculine,Suggestive,Suggestive
https://www.tiktok.com/@jessmilligan21/video/7157107260957756714,Feminine,Feminine,Suggestive,Suggestive
https://www.tiktok.com/@joshandmattdesign/video/7097874853440523521,More than one person  with different gender expressions,More than one person  with different gender expressions,Others,Others
https://www.tiktok.com/@joshhelfgott/video/6955027340262952197,More than one person  with different gender expressions,More than one person  with different gender expressions,Others,Others
https://www.tiktok.com/@joshhelfgott/video/6964086104517627142,More than one person  with different gender expressions,More than one person  with different gender expressions,Others,Others
https://www.tiktok.com/@karenpaniagua.pe/video/7167804187466648838,Feminine,Feminine,Suggestive,Suggestive
https://www.tiktok.com/@katiavlogss/video/6960499148349082885,More than one person  with different gender expressions,More than one person  with different gender expressions,Others,Others
https://www.tiktok.com/@legendlondon.co/video/6839742554930531590,Masculine,Masculine,Others,Others
https://www.tiktok.com/@lucieandemma69/video/7053589177568644398,Feminine,More than one person  with different gender expressions,Others,Others
https://www.tiktok.com/@mads.ringswaldegan/video/6989738310511906054,Feminine,Feminine,Educative,Educative
https://www.tiktok.com/@mateusz.szmit777/video/7159141592564108550,More than one person  with different gender expressions,More than one person  with different gender expressions,Others,Others
https://www.tiktok.com/@mel.on.medicine/video/7156616264960560426,Feminine,Feminine,Educative,Educative
https://www.tiktok.com/@sasukesslavex/video/7105315666982489349,More than one person  with different gender expressions,More than one person  with different gender expressions,Suggestive,Suggestive
https://www.tiktok.com/@sexedfiles/video/7167092622761151786,Feminine,Feminine,Educative,Educative
https://www.tiktok.com/@sexualwellness/video/7086955287550217515,None,None,Educative,Educative
https://www.tiktok.com/@the_sexpert/video/7127333268197788970,More than one person  with different gender expressions,More than one person  with different gender expressions,Educative,Educative
https://www.tiktok.com/@thecamfraser2.0/video/7155334462685842690,Masculine,Masculine,Educative,Educative
https://www.tiktok.com/@thewhizdoc/video/6982344398818266373,Masculine,Masculine,Educative,Educative
https://www.tiktok.com/@tobiett/video/7163323467343973638,Masculine,Masculine,Suggestive,Suggestive
https://www.tiktok.com/@txsoulsnatcher/video/7154582296996203819,Masculine,Masculine,Suggestive,Suggestive
https://www.tiktok.com/@viv_whnp/video/6817152084996017413,None,None,Educative,Educative
https://www.tiktok.com/@wholepotato/video/7091788519030590766,Masculine,Masculine,Suggestive,Suggestive
https://www.tiktok.com/@xgayboy/video/7148848132779003141,Masculine,Masculine,Suggestive,Suggestive
https://www.tiktok.com/@yaz_priv/video/7037917081974738182,Feminine,Feminine,Suggestive,Suggestive
